1girl,女の子
hisuian poke ball,ポークボール（伝説）
holding cigar,葉巻を保持します
casing ejection,排莢
duct tape,ダクトテープ
weapon bag,しないぶくろ
5others,5人
blue nipples,青い乳首
finger sucking,指吸う
sainan high school uniform,Sainan High Schoolの制服
slouching,猫背
aqua sailor collar,アクアセーラーカラー
kissing viewer,キス待ち
bouncing,バウンス
gradient nails,グラデーションネイル
unworn goggles,ゴーグルが削除されました
aqua pupils,水色瞳孔
see-through shawl,透明披肩
groceries,しょくりょうひん
dinosaur tail,恐竜の尾
sound effects only,纯拟声词
dirt road,未舗装の道
pants under dress,ドレスの下のズボン
translucent,半透明
shinigami,死神
rainbow background,彩虹色背景
uneven footwear,不均一な履物
mortarboard,モルタルボード
taut swimsuit,緊張した水着
coin purse,小銭入れ
fiery background,燃えるような背景
blue blood,青い血
nipple-to-nipple,乳首から昼間
huge horns,巨大な角
heavy,重い
jump rope,縄跳び
diving,ダイビング
gesugao,ゲス顔
fortified suit,衛士強化装備用アンダースーツ
conch,巻き貝
yellow umbrella,黄色の傘
arcade,ゲームセンター
zenra,ぜんら
transmission tower,鉄塔
mistletoe,宿り木
beretta 1301,ベレッタ1301
problem solver 68 (blue archive),便利屋68
green camisole,緑のキャミソール
muffin,マッフィン
skin seams,メカスジ
face in ass,顔面圧迫
recurring image,繰り返し画像
cooperative handjob,W手コキ
food insertion,食物插入
holding pickaxe,ピカクセを保持します
arguing,議論
weapon tassel,POMMEL TASSEL
relaxing,リラックス
bruised eye,傷ついた目
glass door,ガラス戸
stuffed bird,ぬいぐるみ
wet face,濡れた顔
2008,2008年
holding orb,オーブを保持します
finger tattoo,フィンガータトゥー
plackart,腹甲
puzzle piece,パズルピース
asymmetrical arms,非対称腕
flower to mouth,花から口まで
liquor,酒
in heat,熱中
purple camisole,紫色のキャミソール
hanafuda earrings,花札耳饰
canteen,水筒
leaf background,葉の背景
purple outline,紫の輪郭
panty lift,内裤提起
o-ring collar,Oリングカラー
pillory,首かせ
swinging weapon,挥动武器
whip sword,ガリアンソード
hair over one breast,片方の胸の上の髪
paizuri invitation,谷間くぱぁ
cuntboy,カントボーイ
symmetrical pose,対称ポーズ
smeared lipstick,塗りつぶしの口紅
mosin-nagant,モシン・ナガン
flattop,フラットトップ
underworld (ornament),underworld（飾り）
chimera (honkai: star rail),奇美拉(星穹铁道)
purple hood,紫色のフード
eye symbol,目のシンボル
hip armor,ヒップアーマー
red sweater vest,赤いセーターベスト
holding own wrist,自分の手首を持っています
skeletal hand,骨格の手
victorian maid,ビクトリアンメイド
imminent hug,即将拥抱
hair over face,顔の髪
double exposure,多重露光
mansion,邸宅
comet,彗星
missing eye,目が欠けています
pink pubic hair,ピンクの陰毛
twintails with braided base,发辫基底双马尾
bell-bottoms,喇叭裤
presenting foot,足を提示します
fading border,フェージングボーダー
blue oni,青鬼
food-themed creature,食品をテーマにした生き物
holding handkerchief,ハンカチを持っています
rosary,ロザリオ
hope's peak academy school uniform,ホープのピークアカデミースクールユニフォーム
colored lineart,色トレス
sukeban,スケ番
mauser 98,モーザー98
pravda military uniform,プラヴダ軍服
pussy cutout,阴部开口
laser sight,レーザーサイト
pink feathers,ピンクの羽
ballistic shield,防弾シールド
mystical high collar,神秘的なハイカラー
paw hair ornament,足の髪の飾り
wing piercing,翼のピアス
amazon warrior,アマゾン
shout lines,叫ぶライン
short braid,短发辫
to be continued,つづく
purple corset,紫色のコルセット
la grondement du haine,ラ・グロンドメント・デュ・ヘイン
tankard,タンダード
sleeve rolled up,スリーブが丸めました
washing hair,洗髪
skeletal arm,骨格腕
single half glove,シングルハーフグローブ
thigh bow,太ももの弓
lance of longinus (evangelion),ロンギヌスの槍(エヴァ)
trapped,閉じ込められた
2005,2005年
swim goggles,スイムゴーグル
yellow tulip,黄色のチューリップ
telstar,テルスター
colored blindfold,青い目隠し
melon soda,メロンソーダ
heart arms,腕ハート
sweater pull,セータープル
mismatched wings,不一致の翼
feet on table,テーブルの上の足
hairstyle switch,髪型交換
rhine lab logo,莱因生命
ambrosia (dungeon meshi),マルシルの杖・アンブロシア
fender jazz bass,フェンダージャズベース
cum on back,背射
standard bearer,旗手
revealing layer,妄撮
on box,ボックスに
grey pubic hair,灰色の陰毛
single drill,螺旋单马尾
spiral-only eyes,スパイラルのみの目
grabbing own thigh,抓住自己的大腿
chi-hatan military uniform,Chi-Hatan軍服
beaker,ビーカー
tea party (blue archive),ティーパーティー(ブルーアーカイブ)
kriss vector,クリス・ヴェクター
circular saw,丸鋸
inflatable whale,インフレータブルクジラ
skull hat ornament,頭蓋骨の帽子飾り
metal baseball bat,金属バット
gradient jacket,グラデーションジャケット
holding polearm behind back,後ろの極地
misaki high school uniform,御崎高校
evoker,召喚器
mugshot,マグショット
fairy kei,フェアリー系
2007,2007年
print swimsuit,プリント水着
dusk ball,ダークボール
puffy chest,ふくらんでいる胸
cow costume,牛コス
screw in head,頭をねじ込みます
apple hair ornament,リンゴの髪の飾り
zebra print,ゼブラ柄
winking (animated),单眼眨眼(动画)
billiard ball,台球(物体)
single elbow pad,シングルエルボパッド
train station platform,駅のホーム
namekian,ナメック星人
viewer on leash,狗视角
flintlock,フリントロック式
chocolate on face,顔にチョコレート
head on arm,腕に向かいます
rabbit on head,頭のうさぎ
cervical penetration,子宮姦
brown overalls,茶色のオーバーオール
whispering in ear,耳打ち
nemophila (flower),ネモフィラ
moth wings,翼
spiked boots,スパイクブーツ
shamoji,しゃもじ
off-shoulder coat,オフショルダーコート
control rod (touhou),制御棒
hanging scroll,掛け軸
pairing name,カップリング表記
halfling,ハーフリング
beach volleyball,ビーチバレー
map (object),マップ（オブジェクト）
stahlhelm,シュタールヘルム
stop sign,止まれ
toothpick,楊枝
oran berry,オレンのみ
orange wings,オレンジ色の翼
crisis management form (machikado mazoku),危機管理フォーム
chicken leg,鶏もも肉
character hood,キャラクターフード
captive bead ring,キャプティブビーズリング
billiard table,台球桌
;(,;（
drawn wings,描かれた翼
penis on stomach,腹部上的阴茎
original race uniform (umamusume),オリジナルレースユニフォーム（Umamusume）
chocolate chip cookie,チョコチップクッキー
right-over-left kimono,左前
variable fighter,可変戦闘機
tile roof,瓦屋根
ak-47,AK 47
chocolate syrup,チョコレートシロップ
inward v,裏ピース
black shawl,ブラックショール
shuriken hair ornament,シュリケンの髪の飾り
kiwi slice,キウイスライス
spray bottle,霧吹き
ainu,アイヌ語
flaming hand,燃えるような手
cbt,CBT
mismatched eyelashes,まつげの不一致
nanodesu (phrase),なのです
hololive idol uniform (bright),ブライト衣装
kickboard,ビート板
padded jacket,パッド入りジャケット
afterword,あとがき
spoken x,話されたx
mousetrap,マウストラップ
toothbrush in mouth,口の中の歯ブラシ
felyne,アイルー
eotech,Eotech
print pajamas,パジャマを印刷します
changing room,脱衣所
typing,タイピング
holding duster,ダスターを保持します
mega ring,メガリング
furious,狂怒
tied ears,結び付けられた耳
ai ai gasa,相合い傘
flower basket,フラワーバスケット
nippleless clothes,乳首出し
biwa lute,琵琶
action,アクション
hands on another's stomach,他の人のお腹の上
blue tube top,ブルーチューブトップ
miracle mallet,打ち出の小槌
dying,今際
popsicle stick,アイスキャンディースティック
mygo!!!!! (bang dream!),迷途之子!!!!!
laguz (fire emblem),ラグズ
green suit,緑のスーツ
detached pants,戸建てズボン
flying button,ボタン飛ばし
paralyzer,パラライザー
pleated sleeves,プリーツスリーブ
purple sarong,紫のサロン
shorts tan,ショーツタン
primarch,プライマーク
glass table,玻璃桌
heart lock (kantai collection),艦娘ロック(保護)機能
oyakodon (sex),親子丼
onee gyaru,お姉ギャル
racing,カーレース
cum bubble,精液泡泡
pear,なし
dynamite,ダイナマイト
hands on floor,床の手
en pointe,ポワント
implied incest,暗黙の近親相姦
mimic chest,ミミック
twintails day,ツインテールの日
alternate pectoral size,代替の胸サイズ
time stop,時止め
crown of thorns,茨の冠
wakamezake,わかめ酒
cosmos (flower),コスモス
champagne bottle,シャンパンボトル
brand of the exalt,聖王の印
igote,射籠手
watercolor effect,水彩画風
bellflower,キキョウ科
nail polish bottle,マニキュアボトル
henshin pose,変身ポーズ
tactile paving,点字ブロック
striped neckerchief,縞模様のネッカチーフ
hyena girl,ハイエナガール
mini witch hat,ミニ魔女の帽子
pink sarong,ピンクサロン
naizuri,ちっぱいズリ
calvin klein,カルバン・クライン
yakisoba,焼きそば
box tie,高手小手
plug (piercing),プラグ（ピアス）
black claws,黒い爪
joker (playing card),ジョーカー
rubik's cube,ルービックキューブ
padlocked collar,パドロックされた襟
holding petal,花びらを保持します
hook hand,手をフック
poison,毒
holding star,ホールディングスター
crossed belts,交差ベルト
seraph,セラフ
initial,イニシャル
over the knee,オーバーザニー
angels of delusion,妄想エンジェル
unhappy,不幸
expression chart,表情練習
hiding behind another,他の人の後ろに隠れています
trowel,スコップ
st. theresa's girls academy school uniform,聖テレサ女学院
red panda tail,赤いパンダの尾
fishbowl,金魚鉢
studded gloves,スタッドグローブ
kadomatsu,門松
quad drills,螺旋四马尾
bull,牡牛
blood in mouth,口の中の血
glasgow smile,グラスゴースマイル
holding pendulum,振り子を保持します
udon,うどん
clinging,抱紧
crucifixion,磔
crutch,松葉づえ
yumi (bow),和弓
amestris military uniform,アメストリス軍服
lightning ahoge,雷电呆毛
spread navel,おへそくぱぁ
anti-aircraft gun,対空砲
outstretched legs,伸腿
bag over head,頭の上にバッグ
hedge,生垣
aqua coat,アクアコート
morrigan aensland (cosplay),モリガンコス
unworn necklace,ネックレスが削除されました
bishamonten's spear,鋒
cum on floor,床に精液
breast zipper,母乳ジッパー
stone walkway,石の通路
water type theme (pokemon),みずタイプ
hugging own tail,自分の尾を抱きしめます
pointing down,指向下方
x arms,ばってん
animation meme,meme动画
bear print panties,くまさんパンツ
removing eyewear,アイウェアを取り外します
deep wound,傷口
character mask,お面
person on head,頭の上の人
sextuplets,六つ子
whale hair ornament,クジラの髪の飾り
japan self-defense force,自衛隊
non-circular lens flare,非円形レンズフレア
seed,種子
saunders school uniform,サンダースの学校のユニフォーム
pendant watch,ペンダントウォッチ
extra legs,多脚
bikini in mouth,くちブラ
email address,電子メールアドレス
st. chronica academy school uniform,st。クロニカアカデミーユニフォーム
adjusting another's clothes,他の人の服を調整します
dragon ball (object),ドラゴンボール（オブジェクト）
options,オプション
spurs,拍車
kyuudou,弓道
texture,テクスチャ
liquid clothes,液体服
stocks,在庫
tiefling,ティーフリング
shaped pubic hair,形の陰毛
frilled babydoll,babydollフリル
military operator,特殊部隊
senbei,せんべい
aegis sword (xenoblade),エージスの剣（xenoblade）
maria the ripper,マリア・ザ・リッパー
jiaozi,ぎょうざ
sharing food,口移し
vomiting,吐く
backless shirt,露背衬衫
glass slipper,ガラスの靴
grape hair ornament,ブドウの髪の飾り
catching,キャッチ
dullahan,デュラハン
bisexual male,バイセクシャル
lifebuoy ornament,lifebuoy飾り
star print bikini,星柄ビキニ
lace background,レースの背景
spiked helmet,スパイクヘルメット
temari ball,手まり
ankle garter,踝环
laboratory,研究室
front-tie bra,フロントタイラ
mismatched horns,不一致の角
cocktail shaker,シェイカー
eye black,アイブラック
studying,勉強
arrow in body,体の矢印
blocking,ブロッキング
testicle peek,玉チラ
intertwined tails,絡みつく尻尾
dyed ahoge,染められたああ
neta,ネタ
tofu,豆腐
stacking,堆叠
fighting game,格ゲー
chisel,のみ
qingxin flower,清心
padded coat,パッド入りコート
lillian girls' academy school uniform,リリアンガールズアカデミーユニフォーム
panties over pantyhose,タイツの上にパンツ
looking at self,审视自己
reverse ryona,逆リョナ
too literal,文字通りすぎます
see-through mask,シースルーマスク
wooden box,木箱
kagura suzu,神楽鈴
sprout,芽
arm sling,アームスリング
orange goggles,オレンジゴーグル
grey male underwear,灰色の男性下着
belt bag,腰包
plague doctor mask,ペストマスク
carried breast rest,おっぱいプレート
high-low skirt,高低裙
sleigh,そり
condom left inside,ゴム残し
naked dress,ネイキッドドレス
ornate clothes,華やかな服
naked skirt,裸スカート
spade tattoo,スペードタトゥー
soy sauce,しょうゆ
coffee table,咖啡桌
dirigible,飛行船
holding bird,鳥を持っている
workout clothes,トレーニング服
multicolored pants,多色のズボン
spray paint,スプレーペイント
panties around one ankle,足首の周りのパンティー
apple slice,アップルスライス
fly,ハエ
load-bearing equipment,負荷ベアリング機器
burnt,黒焦げ
hatsumode,初詣
nagatekkou,長手甲
slide,滑り台
gryffindor,グリフィンドール
limiter (tsukumo sana),リミッター（サナのツクモ）
tennis,テニス
front-print panties,フロントプリント
pill hair ornament,ピルヘアの飾り
on food,食べ物に
cake cat (honkai: star rail),猫糕
glowing markings,輝くマーク
piano print,ピアノプリント
distorted halo,点滅ヘイロー
snow on head,頭の雪
hat pin,帽子のピン
bandaid on shoulder,肩に詰まっています
oversized forearms,巨腕
unworn slippers,スリッパが削除されました
bell pepper,ピーマン
pitchfork,ピッチフォーク
slug,ナメクジ
keyring,キーホルダー
toyogasaki academy school uniform,豊ヶ崎学園
saint quartz (fate),聖晶石
red tulip,赤いチューリップ
frilled vest,フリルベスト
cleanup fellatio,お掃除フェラ
otter tail,カワウソの尾
cum in cup,ザーメンジョッキ
blood spray,血しぶき
aqua scrunchie,アクアシュリューティー
doorknob,ドアノブ
pocari sweat,ポカリスエット
cloth,布
hangar,格納庫
persimmon,かき
drum magazine,ドラム型弾倉
fever,発熱
human chair,人間椅子
yandere trance,恍惚のヤンデレポーズ
blowhole,噴気孔
shakujou,しゃくじょう
moth antennae,mothアンテナ
red panda girl,レッドパンダガール
purple feathers,紫色の羽
shark print,サメのプリント
herensuge girls academy school uniform,エレンスゲ女学園
originium arts (arknights),源石技艺
hand on weapon,武器に手をかけます
penis focus,阴茎特写
holding butterfly net,蝶ネットを保持します
science babies,科学宝宝
glowing mouth,輝く口
queen,女王
german flag bikini,ドイツの旗ビキニ
hands on another's neck,他の人の首の上
taut bodysuit,ぴんと見たボディースーツ
natural wedgie,自然的内裤陷入
gorilla,ゴリラ
takeuchi takashi (style),野生の武内崇
ethereal (zenless zone zero),エーテリアス
aquiline nose,鷲鼻
whale girl,クジラ娘
holding pumpkin,カボチャを持っています
crosshair,レティクル
gradient ribbon,グラデーションリボン
camouflage headwear,カモフラージュヘッドウェア
vodka,ウォッカ
ejaculation under clothes,着衣射精
eggshell,卵の殻
waffle,ワッフル
wooden horse,三角木馬
swallowing,飲み込む
foodgasm,フードガズム
windsock,吹流し
ascot between breasts,胸の間のアスコット
lipstick mark on testicles,玉キスマーク
iris (flower),アイリス
pomegranate,ざくろ
aqua horns,アクアホーン
signpost,道しるべ
neck warmer,围脖
neck garter,ネックガーター
yellow jumpsuit,黄色のジャンプスーツ
pink serafuku,ピンクセラフク
golden arms,黄金の腕
middle w,中央w
battlefield,戦場
greek cross,ギリシャ十字
orange-framed eyewear,オレンジフレームのアイウェア
keizoku school uniform,Keizoku School Uniform
multicolored buttons,多色のボタン
grey overalls,灰色のオーバーオール
pants around one leg,片足の周りのズボン
green pubic hair,緑色の毛
flagpole,旗竿
chiton,キトン(衣類)
beehive hairdo,蜂の巣の髪型
suikawari,スイカ割り
fanning face,面部扇风
titans (gundam),ティターンズ
cum on chest,胸に精液
flat chest grab,フラットチェストグラブ
grey hakama,灰色のハカマ
sitting on animal,動物の上に座っています
spirit blossom (league),精霊の花祭り
dizi,笛子
siren (azur lane),セイレーン(アズールレーン)
black butterfly,ブラックバタフライ
shiromuku,白無垢
senkou hanabi,線香花火
crotchless pants,股間のズボン
puppet rings,人形リング
board eraser,黒板消し
training corps (emblem),訓練兵団
sock pull,靴下プル
grey pupils,灰色瞳孔
penguin girl,ペンギンの女の子
symbiote,シンビオート
stomach growling,腹の虫
lifted by tail,スカートの中から尻尾
alternate shiny pokemon,代替の光沢のあるポケモン
paperclip,回形针
flat chastity cage,フラット貞操帯
clarent (fate),我が麗しき父への叛逆
adjusting buruma,食い込み直し
dog hair ornament,犬の髪の飾り
severed arm,切断された腕
facing back,背对着
chocolate banana,チョコバナナ
video game cover,ビデオゲームカバー
lace-trimmed headwear,レーストリムヘッドウェア
tendril,巻きひげ
lace border,レースボーダー
pleading face emoji,ぴえん
exposed bone,露出した骨
canopy (aircraft),キャノピー
side-tie swimsuit,サイドタイの水着
shopping basket,買い物かご
collar grab,カラーグラブ
swing set,スイングセット
heart wand,ハートワンド
himejoshi,姫女子
sobbing,マジ泣き
checkered haori,チェッカーハオリ
boxing ring,拳击台
delivery,配達員
infinite stratos academy school uniform,無限のストラトスアカデミーユニフォーム
phone booth,電話ボックス
laurels,ローレル
lei,レイ
unworn bowtie,ボウタイが削除されました
:s,：s
yukadon,床ドン
daikon,大根
spork,先割れスプーン
print ribbon,リボンを印刷します
precum through clothes,渗透衣服的先走汁
long eyebrows,長い眉
tantrum,かんしゃく
on tree stump,木の切り株に座っています
black keys (type-moon),黒鍵
oxygen mask,酸素マスク
licking another's cheek,他の人の頬をなめる
heart eyepatch,ハートアイパッチ
flaming eyes,燃えるような目
irezumi,入れ墨
ankleband,アンクルバンド
horse racing track,競馬場
russian flag,ロシアの国旗
lampshade,ランプシェード
low horns,低い角
adjusting footwear,履物の調整
kamihama university affiliated school uniform,神浜市立大附属学校
implied nudity,暗示裸体
usb,ユニバーサル・シリアル・バス
kaname madoka (cosplay),Kaname Madoka（コスプレ）
print bodysuit,プリントボディスーツ
propeller hair ornament,プロペラの髪の飾り
full stomach,満腹
historical connection,聖杯乱舞
washing,洗浄
tanghulu,サンザシ飴
heart straw,ハートストロー
hair focus,ヘアフォーカス
dolphin hair ornament,イルカの髪の飾り
manboobs,マンブーブ
scorpion tail,スコーピオンの尾
cheese trail,チーズトレイル
swan,白鳥
white flag,白旗
planetary ring,行星环
rina-chan board,璃奈ちゃんボード
baseball helmet,棒球头盔
half note,ハーフノート
sitting on water,水の上に座っています
yellow overalls,黄色のオーバーオール
apologizing,謝る
grabbing another's hand,他の人の手をつかむ
cardigan vest,カーディガンベスト
long fingers,長い指
egg yolk,卵黄
table tennis paddle,乒乓球拍
feet on chair,椅子の足
holding party popper,ホールディングパーティーポッパー
criss-cross back-straps,バッククロスストラップ
spasm,痙攣
painted clothes,彩绘服装
deer boy,鹿の少年
crinoline,クリノリン
holding chalk,チョーク
bear bag,クマのバッグ
single sandal,シングルサンダル
winged hair ornament,翼のある髪の飾り
hinamatsuri,雛祭り
silver hairband,シルバーヘアバンド
long arms,長い腕
lgbt pride,プライドフラッグ
holding chess piece,チェスのピースを持っています
head on table,テーブルに向かいます
tsab ground military uniform,TSABグラウンド軍服
striped belt,ストライプベルト
lowleg shorts,低腰短裤
print mug,マグカップを印刷します
aqua wings,アクアウィング
dinosaur costume,恐竜の衣装
lighting cigarette,照明タバコ
giving wedgie,拉别人内裤陷入
ornate armor,華やかな鎧
bubble background,バブルの背景
greenhouse,温室
black tunic,黒いチュニック
face punch,顔パン
cd case,CDケース
jackal boy,ジャッカルボーイ
holding cloth,布を持っています
souryuu asuka langley (cosplay),Souryuu Asuka Langley（コスプレ）
zipper skirt,ジッパースカート
team magma,マグマ団
bat ornament,コウモリの飾り
concentrating,集中
straw hat pirates,麦わらの一味
monocle chain,モノクルチェーン
imitating,ものまね
holding sponge,スポンジを保持します
training,トレーニング
shorts aside,ショートパンツはさておき
glory hole,ラッキーホール
moe moe kyun!,萌え萌えキューン!
bulge to ass,お尻に膨らみます
chain belt,チェーンベルト
gambeson,ガンベソン
asymmetrical dress,不对称连衣裙
welsh corgi,ウェルシュコーギー
reverse nursing handjob,乳首舐め手コキ
toasting (gesture),乾杯
shell earrings,シェルイヤリング
genderswap (otm),genderswap（otm）
cracked mask,ひび割れたマスク
fingering from behind,背後から手マン
paw print soles,爪印足案
turret,タレット
seiren academy school uniform,私立征嶺学園
penis on head,頭のペニス
mole on crotch,股間のほくろ
package,包み
beach chair,ビーチチェア
legs bound apart,双腿束缚分开
feather dress,羽毛连衣裙
camping,キャンプ
cheek rest,頬の休息
chibi on head,頭の上にキビ
housewife,主婦
wrapped in blanket,毛布で巻く
floating crown,フローティングクラウン
fdd threesome,女双双3P
measurements,測定
plus sign,プラス記号
red jumpsuit,赤いジャンプスーツ
fender telecaster,フェンダー・テレキャスター
shoujo kitou-chuu,しょうじょきとうちゅう
x navel,xへそ
mutual orgasm,共同高潮
tickle torture,くすぐり拷問
forget-me-not (flower),ワスレナグサ
lace collar,レースカラー
pony (animal),ポニー
team skull,スカル団
latex boots,ラテックスブーツ
shot glass,酒杯(小号)
holding rabbit,バニーを保持します
dome,ドーム
kirisame marisa (cosplay),KirisameMarisa（コスプレ）
lectern,教卓
knit hat,ニット帽
followers favorite challenge,フォロワーさんの推しが描きたい
gradient sleeves,グラデーションスリーブ
scratching,掻く
colored smoke,色付きの煙
golem,ゴーレム
arisaka,有坂銃
string around finger,指の周りにひも
interview,インタビュー
stuffed frog,ぬいぐるみカエル
grape hat ornament,グレープハット飾り
cat's cradle,あやとり
scar on breast,胸の傷跡
over the mouth gag,口の上のギャグ
yoga,ヨガ
crumpled paper,しわくちゃの紙
phrygian cap,フリギアの帽子
open jumpsuit,オープンジャンプスーツ
empty picture frame,空の額縁
iei,遺影
accidental pervert,ラッキースケベ
walking away,立ち去る
mouse boy,マウスボーイ
moose ears,ムースの耳
waraji,草鞋
sucking male nipple,吸吮男性乳头
year of the dog,戌年
year of the pig,亥年
spoken animal,話された動物
asteroid,アステロイド
patterned legwear,模様のあるレッグウェア
jade (gemstone),翡翠
getabako,下駄箱
argyle dress,菱格连衣裙
tunnel,トンネル
yurie mouth,ゆりえ口
whistling,口笛
barcode scanner,バーコードリーダー
compact (cosmetics),コンパクト
wall-eyed,壁の目
despair,絶望
single knee boot,シングル膝ブーツ
icicle,つらら
spiked mace,モーニングスター
stile uniform,スティーレ
cymbals,シンバル
after battle,戦いの後
public vibrator,公开震动器
deck chair,デッキチェア
red sun,夕焼け
gleam,きらめき
aztec,アステカ
rolling,転がる
multiple anal,複数の肛門
fur capelet,皮草
sinking,沈む
kittysuit,猫耳バニー
see-through pantyhose,透视连裤袜
hanging legs,足プラ
wrist straps,リストストラップ
electrocution,電気責め
ghost type theme (pokemon),ゴーストタイプ
anchor earrings,アンカーイヤリング
mailbox (incoming mail),郵便受け
handrail,扶手
holding string,文字列を保持します
unworn hairband,ヘアバンドが取り外されました
nuzzle,ナズル
cowering,カリスマガード
crater,クレーター
tucked money,お金のタック
shogi,将棋
gaijin 4koma (meme),外人4コマ
see-through bodysuit,透视连体衣
pon de ring,ポン・デ・リング
throat bulge,喉ボコ
neck grab,ネックグラブ
implied paizuri,暗黙のパイズリ
enema,浣腸
scolding,少女説教中
pitching,投球ポーズ
saury,サンマ
vest lift,ベストリフト
lavender (flower),ラベンダー
plaid shawl,格子縞のショール
aqua sweater,アクアセーター
toothpaste,歯磨き粉
impossible hair,不可能な髪
ass freckles,お尻のそばかす
female orc,女オーク
steam locomotive,蒸気機関車
ankle wings,足首の翼
cornrows,コーンロウ
jian (weapon),剑
against window,ウィンドウに対して
rabbit ear headphones,兔耳耳机
stamp mark,印章
basketball hoop,篮筐
riverbank,川沿い
genre connection,题材相同/相关
on crescent,月に乗る
military fatigues,戦闘服
2006,2006年
sheriff badge,保安官バッジ
water yoyo,水ヨーヨー
cutting own hair,自分の髪を切る
purple suit,紫のスーツ
skateboarding,スケートボード
see-through gloves,グローブを見せます
hand on another's crotch,手放在别人的裆部
comic sans,コミックサン
print eyepatch,印刷アイパッチ
taker pov,正面向き前傾ペニス
polka dot hairband,ポルカドットヘアバンド
funeral dress,喪服
long hoodie,パーカーワンピース
green sports bra,グリーンスポーツブラ
aqua choker,アクアチョーカー
exposed internal machinery,暴露的内部机械结构
snapping fingers,指パッチン
exposed muscle,露出した筋肉
nesoberi,寝そべり
wardrobe error,ワードローブエラー
tuna,まぐろ
superflat,スーパーフラット
torn kimono,引き裂かれた着物
spiked gauntlets,スパイクガントレット
piano bench,ピアノ椅子
can't be this cute,俺の妹表紙風
rowboat,ローボート
ruyi jingu bang,如意金箍棒
milkshake,ミルクセーキ
playing flute,フルートを演奏します
squat toilet,和式トイレ
garland (decoration),ガーランド（装飾）
hand on own foot,自分の足に手をかけます
hands on headphones,ハンズオンヘッドフォン
shaped lollipop,形のロリポップ
ooarai (emblem),ooarai（エンブレム）
jacket over shoulder,肩越しのジャケット
germany,ドイツ連邦共和国
yuki onna,雪女
small nipples,小さな乳首
oonusa,大幣
russia,ロシア
colored pussy,異色粘膜
carrot print,ニンジンプリント
holding magazine,ホールディングマガジン
microsoft paint (software),MSペイント
borrowed hairstyle,借りた髪型
knee guards,膝当て
oxfords,オックスフォード
carnation,カーネーション
energy barrier,バリア
weird route (deltarune),Aルートweirdroute
no symbol,シンボルはありません
belt skirt,beltskirt
frilled sash,フリルサッシ
singlet,シングレット
stiff tail,硬い尾
kite,凧
penis over one eye,片目にペニス
violence,暴力
claw foot bathtub,猫足バスタブ
torn bikini,引き裂かれたビキニ
crying emoji,泣く絵文字
advanced nurturing high school uniform,高校の制服を育てる高度な育成
tsukumihara academy uniform (fate/extra ccc),ツミハラアカデミーユニフォーム（Fate/Extra CCC）
railgun,レールガン
ikea shark,IKEAのサメ
kamina shades,カミナシェード
super saiyan 2,超サイヤ人2
frustrated,沮丧
confrontation,対峙
twitter cutting game,切りTチャレンジ
checkered legwear,チェッカーレッグウェア
paper background,紙の背景
nico nico nii,にっこにっこにー
koinobori,鯉のぼり
undone neckerchief,Neckerchiefを元に戻しました
wide face,へちょ絵
panties over garter belt,ガーターベルトの上のパンティー
cracking knuckles,指ポキ
glowing halo,发光的光环
mazda,マツダ株式会社
single bang,单刘海
soba,そば
backless panties,Vバック
dualshock,デュアルショック
o-ring panties,Oリングパンティー
glass writing,ガラスの書き込み
super mushroom,スーパーキノコ
musical note earrings,ノートノートイヤリング
mamemaki,豆撒き
...!,...！
orange tabard,オレンジ色のタバード
arrow print,矢印の印刷
orange outline,オレンジ色のアウトライン
mint,ミント
razor,かみそり
orchid,ラン(植物)
meka (overwatch),メカ（オーバーウォッチ）
plaid apron,格子縞のエプロン
aqua lips,水色嘴唇
tote bag,トートバッグ
finger to eye,指から目
energy weapon,ビーム兵器
puzzle,拼图
songover,Songover
earphones removed,イヤホンが削除されました
whale hat,クジラの帽子
butterfly hat ornament,蝶の帽子飾り
satellite dish,衛星皿
colored condom,色付きのコンドーム
ice skating,アイススケート
twig,小枝
chipmunk ears,シマリスの耳
mochitsuki,餅つき
ribbed cardigan,リブ付きカーディガン
flower bed,花壇
torn sweater,破れたセーター
tied to chair,椅子に縛られています
gae dearg (fate),gae dearg（運命）
pokefication,ポケモン化
rubbing,こすります
pansy,パンジー
drain (object),排水（オブジェクト）
colored eyepatch,色付きアイパッチ
salmon run (splatoon),サーモンラン
stuffed unicorn,ぬいぐるみユニコーン
holding tongs,トングを持っています
kidnapping,お持ち帰り
hand over face,顔を渡します
stuffing,中綿
tailjob,尻尾コキ
cartoonized,漫画
stinger,毒針
stuffed eggplant,ぬいぐるみ
glove in mouth,口の中の手袋
shaved head,スキンヘッド
on pillow,枕の上
hotel room,ホテルの部屋
rooster,おんどり
yellow collar,黄色の襟
spiked ball and chain,モーニングスター
hockey mask,ホッケーマスク
trying on clothes,试穿衣服
animal skeleton,動物の骨格
hashitsuki nata,嘴付き鉈
bakery,パン屋
adjusting leotard,调整紧身衣
spiked anklet,スパイクアンクレット
mint chocolate,チョコミントアイス
gradient border,グラデーションボーダー
polka dot camisole,ポルカドットキャミソール
lemon hair ornament,レモンの髪の飾り
chipmunk girl,シマリスガール
nori (seaweed),のり
dildo under clothes,衣服下的假阳具
underground,地下
orange cardigan,オレンジカーディガン
multicolored stripes,多色のストライプ
pink robe,ピンクローブ
yellow hood,黄色いフード
bc freedom school uniform,BCフリーダムスクールユニフォーム
