hatsune miku,初音ミク
takao (d-frag!),高尾部長
tokoyami towa (new year),常闇トワ(正月衣装)
suzumura yuu,鈴村優
carracosta,アバゴーラ
shitodo hoojiro,鵐頬告鳥
sienna (henken),シエナ（ヘンケン）
loudred,ドゴーム
illumise,イルミーゼ
narumi yui,成実ゆい
himuro lavi,氷室ラビ
tuka luna marceau,テュカ・ルナ・マルソー
pazu,パズー
misato (summer) (princess connect!),ミサト(サマー)
leon magnus,リオン・マグナス
azuma (soft voice of spring) (azur lane),語らいの春霞
general liu (girls' frontline),劉氏歩槍(ドールズフロントライン)
dimension witch (elsword),ディメンションウィッチ（エルソード）
reinhardtzar,ラインハルザ
five-seven (cruise queen) (girls' frontline),クルーズクイーン
cryo cicin mage (genshin impact),冰萤术士
saotome genma,早乙女玄馬
rick dias,リック・ディアス
gelato (jojo),ジェラート(ジョジョの奇妙な冒険)
wheelie (kirby),ウィリー(星のカービィ)
izayoi (blazblue),イザヨイ(ブレイブルー)
bastion (overwatch),バスティオン（オーバーウォッチ）
sepia belmont,セピア・ベルモンド
ex albio (1st costume),エクス・アルビオ(通常)
talos (housamo),タロス
dewpider,シズクモ
youjo (creek (moon-sky)),youjo（Creek（Moon-Sky））
feng (skullgirls),フェン
next purple,ネクストパープル
okazaki kei,岡崎契
pepper (nikke),ペッパー(勝利の女神:NIKKE)
nozama tomoko,野座間友子
sonetto (parade anthem) (reverse:1999),十四行诗(巡礼颂)
momi momiji,茂見紅葉
cure arcana,キュアアルカナ
asakura kazumi,朝倉和美
frederica irving,フレドリカ・アーヴィング
ghostblade (to be hero x),ワン・イー
heidrun (fire emblem),ヘイズルーン
ikari yui,碇ユイ
kanae (1st costume) (nijisanji),叶(通常)
stella (gnosia),ステラ
kirov (kancolle),キーロフ
haru urara (new year new urara!) (umamusume),初うらら♪さくさくら
momonga (chiikawa),モモンガ(ちいかわ)
shino (housamo),シノ
elita one,エリータ・ワン
katherine mcbride,キャサリン・マクブライド
25-ji luka,ニーゴルカ
fuuma kotarou (tenkaichi),風魔小太郎(テンカイチ)
minamoto no raikou (swimsuit lancer) (first ascension) (fate),鉱本no raikou（水着ランサー）（最初の昇天）（運命）
bela dimitrescu,ベイラ・ドミトレスク
jungle pocket (tobasuze hot summer!) (umamusume),トばすぜホットサマー!
kirishima eriko,桐島英理子
ayuhara natsu,鮎原夏
gaia (another eidos),ガイア（別のeidos）
seth (fire emblem),ゼト
iris (seisenki iris),イリス
qucusaurus (genshin impact),クク竜
spider-man noir,スパイダーマン・ノワール
nekobus,ネコバス
ooshima niina,大島二以奈
ooyodo (swimsuit) (kancolle),大淀(水着)
cure echo,キュアエコー
amane kanata (summer),天音かなた生誕祭2024
buzz lightyear,バズ・ライトイヤー
alexander anderson,アレクサンド・アンデルセン
officer caitlyn,警官ケイトリン
bellona (azur lane),ベローナ(アズールレーン)
galarian darumaka,ガラルダルマッカ
seira (mermaid melody pichi pichi pitch),星羅
st. louis (an afternoon on the lido deck) (azur lane),プールデッキ・アフタヌーン
a knight (reverse:1999),未锈铠
tsukuyomi shinshi (kemono friends),ツクヨミノシンシ(けものフレンズ)
shoji mezo,障子目蔵
ball guy,ボールガイ
sakurai tomoki,桜井智樹
n102 (nikke),N102(勝利の女神:NIKKE)
nanashi mumei (owl),ナナシ・ムメイ（フクロウ）
npc (wuthering waves),NPC(鸣潮)
megurine luka (chiffon dress),シフォンワンピース
kijo kouyou (fate),鬼女紅葉(Fate)
jetfire,スカイファイアー
mountain hare (kemono friends),ユキウサギ(けものフレンズ)
cobra (space adventure cobra),コブラ
narmaya (holiday) (granblue fantasy),ナルマヤ（ホリデー）（グランブルーファンタジー）
gira-gira-chan (ado),ギラギラちゃん
aihara tsubaki,藍原椿
nincada,ツチニン
great saiyaman,グレートサイヤマン
magic knight (disgaea),魔法剣士(女)
aries muu,牡羊座のムウ
saginomiya isumi,鷺ノ宮伊澄
ayame (tenchuu),彩女
ukai zero,宇海零
krokorok,ワルビル
kaminagi ryouko,カミナギ・リョーコ
mochizuki himari,餅月ひまり
tira misu,ティラ・ミス
helena blavatsky (swimsuit archer) (first ascension) (fate),エレナ・ブラヴァツキー(水着)
isabelle (shadowverse),イザベル(シャドウバース)
unown p,アンノーンP
qiubai (arknights),チューバイ(アークナイツ)
brown haired glasses elf (houtengeki),茶色の髪のメガネエルフ（Houtengeki）
leo whitefang,レオ=ホワイトファング
usapyon,USAピョン
eun (elsword),Eun（Elsword）
sasaki touko,佐々木透子
belafu,ベラフ
kakura kurumi,鹿倉胡桃
renee costa,レネ・コスタ
cote d'azur widowmaker,Cote D'Azur WidowMaker
myo (project moon),ミョ
reni milchstrasse,レニ・ミルヒシュトラーセ
lidia sobieska,リディア・ソビエスカ
zhao linger,赵灵儿
poniko (lielos),ポニ子さん
secretary-san (zannen onna-kanbu black general-san),秘書さん（Zannen Onna-Kanbu Black General-San）
maintenance musume (kancolle),メンテ娘
jinguuji ren,神宮寺レン
mantra (arknights),マントラ
shalnark,シャルナーク
lan fan,ランファン
yonebayashi saiko,米林才子
olivia (kureiji ollie),オリビア（クレイジ・オリー）
marcy (chrono cross),マルチェラ
ogasawara rinko,小笠原綸子
spore (ragnarok online),胞子（ラグナロクオンライン）
okishiro momoka (shin no tenpii),インナーカラー彼女
annie mei,アニー・メイ
ning rongrong (douluo dalu),宁荣荣
azusagawa kaede,梓川かえで
silvia van hossen,シルヴィア=ファン・ホッセン
kurashima chiyuri,倉嶋千百合
nelly (project moon),ネリー
midare toushirou (kiwame),Midare toushirou（kiwame）
hoshizuki suzu,星月スズ
charles zi britannia,シャルル・ジ・ブリタニア
shigure (lawson) (kancolle),ローソン時雨
tabris-xx,タブリスXX
jett (precure),ジェット先輩
lucifer (megami tensei),ルシファー(女神転生)
purifying wind (infinity nikki),かの風に捧げる舞
akasaka miyuki,赤坂美雪
saji genpou (true),左慈元放
infinite (sonic),インフィニット
kaya (kancolle),榧(艦隊これくしょん)
messer ihlefeld,メッサー・イーレフェルト
ibuki (senran kagura),伊吹(閃乱カグラ)
mika (lycoris recoil),ミカ(リコリス・リコイル)
aerith gainsborough (floral delight),フローラルソレイユ
chiaki riko,千秋理子
hinata chinatsu,日向千夏
nemurin,ねむりん
nazuka (stella sora),ナツカ(ステラソラ)
anoko (chiikawa),あのこ(ちいかわ)
clarence clayden (godheim),司岚冕下
urien,ユリアン(ストリートファイター)
swain (league),スウェイン（リーグオブレジェンド）
minior (indigo core),あおいろのコア
cologne (ranma 1/2),コロン(らんま1/2)
kiana kaslana (time runner),時の追光者
ichi (madan no ichi),イチ(魔男のイチ)
kirara (inuyasha),雲母
hino eiji,火野映司
allen m. sumner (azur lane),アレン・M・サムナー(アズールレーン)
lucky chloe,ラッキー・クロエ
eltnum (under night in-birth),エルトナム
kamen rider kuuga (ultimate form),アルティメットフォーム
tunomon,ツノモン
gotcha! girl (pokemon),ゴッチャ！女の子（ポケモン）
type: null,タイプ:ヌル
capsakid,カプサイジ
dark hunter 4,ドリ子
koyomi (shironeko project),雪国の小さな狼コヨミ
daniela dimitrescu,ダニエラ・ドミトレスク
bardiche (riot zanber stinger) (nanoha),ライオットザンバー・スティンガー
nagase mana,長瀬麻奈
savanna striped giant slug (kemono friends),サバンナシマシマオオナメクジ
skeleton (helltaker),スケルトン（ヘルテイカー）
aoi nadeshiko,藍井撫子
grumpig,ブーピッグ
angel (drag-on dragoon),アンヘル(DOD)
nene nene,根音ネネ
liv: lux (pgr),流光
hk416 (midnight evangelion) (girls' frontline),HK416（ミッドナイトエヴァンゲリオン）（女の子の最前線）
gundou mirei (1st costume),郡道美玲(旧衣装)
chirico cuvie,キリコ・キュービィ
miketa ryouka,ミケ太郎
harukawa fuki,春川フキ
mega absol z,メガアブソルZ
perrserker,ニャイキング
tanaka shinbei (fate),田中新兵衛(Fate)
ak-47 (girls' frontline),AK-47(ドールズフロントライン)
reml,りむる
kuhouin murasaki,九鳳院紫
tachibana rui,橘瑠衣
galaco,ギャラ子
aquarius camus,水瓶座のカミュ
tapris chisaki sugarbell,千咲=タプリス=シュガーベル
arue (konosuba),あるえ(このすば)
ussr-tan,USSRたん
makita yuzu,牧田柚子
miyako yoshika (living),都良香
healer girl (yuuhagi (amaretto-no-natsu)),ヒーラーガール（ユハギ（アマレットノツナツ））
ragdoll (boku no hero academia),ラグドール
ember (arknights),エンバー
morgan le fay (academy outfit) (fate),英霊学装
pyroar (male),パロア（男性）
exdeath,エクスデス
wilbell voll-ersleid,ウィルベル・フォル=エルスリート
lombre,ハスブレロ
oozora subaru (new year),大空スバル(正月衣装)
cia (hyrule warriors),シア
fandead (uruha rushia),ファンディード（ウルハ・ラシア）
zuikaku (valentine) (kancolle),瑞鶴(バレンタイン)
takenaka hanbee (oda nobuna no yabou),竹中半兵衛(織田信奈の野望)
minya (nyanko daisensou),ミーニャ(にゃんこ大戦争)
ekaterina kurae,エカテリーナ=クラエ
kiyoura setsuna,清浦刹那
saitou furoufushi,齋藤不老不死
kouyama mitsuki,神山満月
nekoha shizuku,猫羽雫
kosaka chihiro,小阪ちひろ
kodama shichirou,児玉七郎
tormod (fire emblem),トパック
torbjorn (overwatch),Torbjorn（オーバーウォッチ）
log-mi (tonpuu),log-mi（tonpuu）
kuraishi tanpopo,倉石たんぽぽ
itou ittousai (sengoku bushouki muramasa),伊東一刀斎
maya (dq11),マヤ(DQ11)
ji guang-hong,ジ・グァンホン
nyx (queen's blade),ニクス
sagami jun,佐上ジュン
amamiya manami,天宮学美
achakura,あちゃくらさん
sakura miko (hololive summer 2019),さくらみこ(ホロライブ・サマー2019)
izumi kanata,泉かなた
suou kuyou,周防九曜
blue cat (precure),ブルーキャット
jessie the yodeling cowgirl,ジェシー(トイストーリー)
hilda (stella glow),ヒルダ(ステラグロウ)
flittle,ヒラヒナ
augustus (path to nowhere),无期迷途奥古斯特
darwin watterson,达文
kurusu makina (divine heart makina),ディバインハートマキナ
onigiri (vtuber),おにぎり
gundam gp-03 stamen,ガンダム試作3号機
sweet lip,スイートリップ
sidoh,シドー
fake hisui (cookie),偽物だがいいやつそうなHSIさん
shinobu akira (madoka magica),志伸あきら
helena (meta) (azur lane),ヘレナ(META)
furen e lustario (2nd costume),フレン・E・ルスタリオ(夏服)
hotori (nte),潯(nte)
kamen rider zeztz,仮面ライダーゼッツ
luxtia,ルクスティア
bachou mouki (ikkitousen),馬超孟起
zuikaku (swimsuit) (kancolle),瑞鶴(水着)
wugtrio,ウミトリオ
throh,ナゲキ
pyro slime (genshin impact),炎スライム
ciel (kamitsubaki studio),空爽るーむ
tachibana chiaki (megami tensei),橘千晶
south korea (kokkimusume),韓国ちゃん
dorothy gale,ドロシー・ゲイル
female professor (neural cloud),女性教授(ニューラルクラウド)
kuzunoha amehiko,葛之葉雨彦
cyan garamonde,カイエン・ガラモンド
cu sith (housamo),カーシー
yagatake arashi (nekoarashi),夜ヶ岳嵐
jiraiya (persona 4),ジライヤ
cid kagenou (shadow),シャドウ(シド・カゲノー)
chang wufei,チャン・ウーフェイ
guam (stage-setting charmer) (azur lane),チャーミング・ステージング
kidagakash,キーダ
ulforcev-dramon,アルフォースブイドラモン
temari (nekomata okayu),Temari（Nekomata okeu）
lordly trashcan (honkai: star rail),王のゴミ箱
guitar little sister (hitomi o),ギターの妹（hitomi o）
moro (mononoke hime),モロ
sclera (asteroid ill),硬化症（小惑星病）
katharine o'hare,キャサリン・オヘア
lena liechtenauer,レナ・リヒテナウアー
laru (stella sora),ラール
havoc-chan,ハボックちゃん
pirate (sekaiju),パイレーツ
cheongmyeong (return of the mount hua sect),靑明
elder cousin (igarashi kyouhei),いとこ長老（就学史）
fuyunyan,フユニャン
mike haggar,マイク・ハガー
souryuu (lawson) (kancolle),ローソン蒼龍
the o (mobile suit),ジ・O
pallas's cat (kemono friends),マヌルネコ
smithee a. haysaca,スミシー・A・ハーサカ
karla (fire emblem),カーラ（火の紋章）
uchicchii,うちっちー
ieiri popo,ポポのアーチョ
sky child,光之子
lorem (mazohaha),ローレム
uesugi kenshin (rance),上杉謙信(ランスシリーズ)
cloud of darkness,暗闇の雲
sunomiya sana,須ノ宮さな
maria marionette (1st costume),マリア・マリオネット(通常)
eunha (closers),銀河
golett,ゴビット
the hand (stand),ザ・ハンド
hime (himesama goumon),姫様(姫様“拷問”の時間です)
endou yuuji,遠藤勇次
mordred (formal dress) (fate),英霊正装
ulrich von hutten (mayhem maid) (azur lane),メドヘン・トリュンマー
maggiore baracca (azur lane),マッジョーレ・バラッカ(アズールレーン)
claudia hortensia,クラウディア・オルテンシア
clawitzer,ブロスター
kiev (azur lane),キエフ
kirika towa alma,キリカ・トワ・アルマ
sohee,ソヒー
sasaki yukina,佐々木ユキナ
zexion,ゼクシオン
watson amelia (new year),ワトソン・アメリア(正月衣装)
rio (g (genesis1556)),リオ（g（genesis1556））
momo (gundam build divers),モモ（ガンダムビルドダイバー）
zap renfro,ザップ・レンフロ
kirari hikaru,煌里ひかる
yian kut-ku,イャンクック
shitaisan,死体さん
kurumizaka ruri,胡桃坂ルリ
kikuta mokutaro,菊田(ゴールデンカムイ)
mozu (fire emblem),モズメ
volcanion,ボルケニオン
minerva (re:zero),ミネルヴァ
belfast (the noble attendant) (azur lane),優雅にして高貴な従者(アズールレーン)
timburr,ドッコラー
kevin graham,ケビン・グラハム
ledo (suisei no gargantia),レド（スイセイガンガンティアなし）
elisa (girls' frontline),エリザ(ドールズフロントライン)
robobot armor,ロボボアーマー
irie kyousuke,入江京介
dieci (nanoha),ディエチ・ナカジマ
chum (splatoon),シャケ(スプラトゥーン)
shiki (yuureidoushi (yuurei6214)),シキ（Yuureidoushi（Yuurei6214））
strea (sao),ストレア
nishigoori lutz,スケオタ三姉妹
margery daw,マージョリー・ドー
zero (zero kara hajimeru mahou no sho),ゼロ
maki natsuo,マキ・ナツオ
yuusha (maoyuu),勇者(まおゆう)
chibi miku (mayo riyo),チビミク（マヨリヨ）
asselin bb ii,アスラン=ベルゼビュートII世
dog child (doitsuken),犬の子供（doitsuken）
knight princess annelotte,叛乱の騎士姫アンネロッテ・クロイツ
sousou (koihime musou),曹操
wakaba (kemurikusa),わかば(ケムリクサ)
tsukamoto shuuichi,塚本秀一
henriette mystere,アンリエット・ミステール
johnathan mar,ジョナサン・マル
fujisawa yayoi (uchuu no stellvia),藤沢やよい
nekomiya nono,猫宮のの
vullaby,バルチャイ
tirtouga,プロトーガ
pohwaran,ポー・ファラン
haruka armitage,ハルカ・アーミテージ
kowata makoto,木幡真琴
nishigoori axel,スケオタ三姉妹
nishigoori loop,スケオタ三姉妹
chao lingshen,チャオリンシェン
kumagawa misogi,球磨川禊
alkaid (.hack//),揺光
sylas (league),サイラス
athena (saint seiya),アテナ
aisaka sayo,相坂さよ
pandora smith (magister),パンダちゃん
springtrap,スプリングトラップ
grave (beautiful you) (nikke),グレイブ:ビューティフル・ユー
grey (mega man),グレイ(ロックマン)
amumu (league),アムム
persia (mahou no yousei persia),ペルシャ
young xehanort,ゼアノート
brigitta (metaphor: refantazio),ベルギッタ
kujo chiharu,チハル
neo metal sonic,ネオメタルソニック
princess tear,プリンセスティア
houndstone,ハカドッグ
mipple,ミップル
aimono jyushi,四十物十四
rurune (vrchat),ルルネ
miichiru (pripara),ミーチル
el shaddoll winda,エルシャドール・ミドラーシュ
miki (shugo chara!),ミキ
agate crosner,アガット・クロスナー
squawkabilly,イキリンコ
fungami yuya,ふんがみ•ゆうや
gallerian marlon,ガレリアン=マーロン
ryu hayabusa,リュウ・ハヤブサ
aldrich devourer of gods,神々のアルドリッチの貪欲
chaika bogdan,チャイカ・ボフダーン
sena airi,瀬名愛理
geara doga,ギラ・ドーガ
hiiragi akao,柊赤緒
chapman's zebra (kemono friends),チャップマンシマウマ(けものフレンズ)
sonya (schan),ソーニャ（シャン）
silque (fire emblem),シルク(FE外伝)
hatsune miku (ribbon girl),リボンガール
scarlet (ff7),スカーレット(FF7)
kleavor,バサギリ
kite (.hack//),カイト
skrelp,クズモー
zenith greyrat,ゼニス・グレイラット
mecha eli-chan (fate),メカエリチャン
sean matsuda,ショーン・マツダ
bellri zenam,ベルリ・ゼナム
lin hu (nekojishi),虎爺林虎
okuzora kohaku,奥空心白
yamaguchi chihiro (assault lily),甲の花
sovetskaya rossiya (the lackadaisical lookout) (azur lane),怠けぬ監視者
exploud,バクオング
dracula (castlevania),ドラキュラ(悪魔城ドラキュラ)
amasawa chigusa,天沢千草
iris amicitia,イリス・アミシティア
mayday parker,メイデイ・パーカー
sorbet (jojo),ソルベ(ジョジョの奇妙な冒険)
secco,セッコ
iwashita shima,岩下志麻
merry milk,メリーミルク
unown g,アンノーンG
kokoa-chan (pan (mimi)),ココアちゃん（パン（ミミ））
yui (summer memories),結衣(あまえんぼ)
sophia (pgr),苏菲亚
shihoudou narika,四方堂ナリカ
marnie (champion) (pokemon),マリィ(チャンピオン)
nico (devil may cry),ニコ(デビルメイクライ)
tomachop,とまチョップ
tsurugi hina,鶴木陽渚
adam smasher,亚当·重锤
minami kenjirou,南健次郎
clair lasbard,クレア・ラーズバード
kim jaehee,金材禧
kinoshita shizuka,木下しずか
merlin hermes,梅林·赫尔墨斯
shiny heart (alice girls),光沢のある心（アリスガールズ）
takaoka yukari,高岡由香里
lucius (fire emblem),ルセア
yukimi koume,雪見小梅
cream (cream),クリーム（クリーム）
kujou subaru,九条昴
sagara seiji,相楽誠司
kagamine len (nt),鏡音レンNT
shindou hikari,新道光
ootani yuri,大谷ゆり
shirogane takeru,白銀武
oranguru,ヤレユータン
female majin,魔人ブウの許嫁
adjutant (snowbreak),分析员
denver (azur lane),デンバー(アズールレーン)
cynthia riddle,シンシア・リドル
presea testarossa,プレシア・テスタロッサ
mary hunt,メアリ・ハント
takamatsu (angel beats!),高松
aizawa chizuru,相沢千鶴
shiraishi yuzuki,白石結月
haijima ginka,灰島銀華
choko (arc the lad),choko（arc the lad）
boldore,ガントル
shijou mitsuki,祇条深月
alice wishheart,アリス・ウィッシュハート
minagi hiyori,海凪ひより
mila (doa),ミラ
nishihara tetsuya,西原tetsuya
sealand (hetalia),ピーター・カークランド
loli ruri,ロリルリ
usuta sumire,臼田スミレ
nekoyanagi kirio,猫柳キリオ
sanger zonvolt,ゼンガー・ゾンボルト
ujiie mutsumi,氏家むつみ
king bradley,キング・ブラッドレイ
donovan baine,ドノヴァン・バイン
the king of red lions,赤獅子の王
zack fair (midgard seventh high school),御土我留市立第七高校
pallette (mega man),パレット(ロックマン)
veluza,ミガルーサ
sophie andrea yukitou,ソフィー・アンドレア・雪籐
mococo abyssgard (pajamas),モココ・アビスガード(FUWAMOCOパジャマ衣装)
amethyst (houseki no kuni),アメシスト
galdino,ギャルディーノ
nanahoshi shizuka,七星静香
noa (shironeko project),蒼い海の少女ノア
satanick (funamusea),サタニック
inui seishu,乾青宗
falcon armor x (mega man),ファルコンアーマー
ojou-sama zundamon,お嬢様ずんだもん
ariake (ooe),有明
virgin mary,聖母マリア
chestnut horse (kemono friends),サラブレッドくりげ(けものフレンズ)
wakka,ワッカ
shin (path to nowhere),源津
bramblin,アノクサ
aegir (one-on-one leisure time) (azur lane),閑暇の魔に憩いの時間を
say'ri (fire emblem),サイリ
sandy shocks,スナノケガワ
kotobuki hisako,古都吹寿子
iria animi,イリア・アニーミ
hoshii miki (beyond the wishes),ビヨンドザウィッシュズ
crabrawler,マケンカニ
togakushi touko,戸隠憧子
den den mushi,電伝虫
arai motoha,新井素羽
mademoiselle (ensemble stars!),マドモアゼル
barrel (live a hero),バレル（生きるヒーロー）
dur-nar (arknights),ジュナー
python (girls' frontline),パイソン(少女前線)
thorns the lodestar (arknights),引星ソーンズ
ansem seeker of darkness,暗闇のアンセムシーカー
toedscruel,リククラゲ
ceobe (summer flowers) (arknights),セビ（夏の花）（arknights）
medea (dq8),ミーティア姫
exs-tia avalas,エクスティア・アヴァラス
iris (en'en no shouboutai),シスター・アイリス
obelisk the tormentor,オベリスクの巨神兵
lickilicky,ベロベルト
the endsinger,終焉を謳うもの
chinatsu (suzutsuki kurara),チャイナツ（uzutsuki kurara）
burning blaze,バーニングブレイズ
tailblue,テールブルー
kass,カッシーワ
medusa (kid icarus),冥界女王メデューサ
tour guide from the underworld,魔界発現世行きデスガイド
kano chinatsu,鹿野千夏
lance crown,ランス・クラウン
anastasia valeria,アナスタシア・ルン・ヴァレリア
ultra magnus,ウルトラマグナス
belo betty,ベロ・ベティ
beryl gut,ベリル・ガット
electric miku (project voltage),でんきミク
dezel (tales),デゼル
simisear,バオッキー
yuki (idolish7),千(アイドリッシュセブン)
priscilla asagiri,プリス
flash man,フラッシュマン
nishijima kai,西島櫂
hira hikari,飛良ひかり
cazador szarr,カザドール
machinist (final fantasy),機械工（ファイナルファンタジー）
libeccio (halloween) (kancolle),リベッチオ(ハロウィン)
rose (elsword),ローズ（エルワード）
kabuto kouji,兜甲児
orthworm,ミミズズ
kayano futaba,茅野ふたば
smol calli,スモルカリ
robo-ky,ロボカイ
jasper (steven universe),ジャスパー(スティーブン・ユニバース)
slokai (iron saga),スロカイ
linde (octopath traveler),リンデ（タコの旅行者）
little illustrious (azur lane),リトル・イラストリアス
zeppy (azur lane),ツェッペリンちゃん
baltimore (muse) (azur lane),ボルチモア(μ兵装)
sadida,サディダ
leni loud,レニラウド
konohoshi umika,小ノ星海果
u-81 (azur lane),U-81(アズールレーン)
type 97 shotgun (girls' frontline),97式霰(ドールズフロントライン)
croix meridies,クロワ・メリディエス
alexstrasza,阿莱克斯塔萨
kyle dunamis,カイル・デュナミス
futaba aoi (naomi),双葉葵
nanbara chizuru,南原ちずる
rosette christopher,ロゼット・クリストファ
smol ina,Smol ina
kunizuka yayoi,六合塚弥生
blackberry cookie,ブラックベリークッキー
desha (ousama ranking),デシャ（オサマランキング）
kazakiri hyouka,風斬氷華
yuni (real) (princess connect!),真行寺由仁
roxie richter,ロキシー・リヒター
asahina akane (nijisanji),朝日南アカネ
yukina (yu yu hakusho),雪菜
luna (fizintine),ルナ（フィジンティン）
shimo hisae,霜久愛
hagane miku,鋼音ミク
sniper (sekaiju),スナイパー（セカイジュ）
sazanami (christmas) (kancolle),漣(クリスマス)
murakami natsumi (negima),村上夏美
arval (fire emblem),Arval（火の紋章）
thief (dungeon and fighter),泥棒（ダンジョンとファイター）
serpent (path to nowhere),ナチャ
hidari (yomi no tsugai),左(黄泉のツガイ)
peach (girls und panzer),ピーチ(GuP)
alexandrite (houseki no kuni),アレキサンドライト(宝石の国)
paine (ff10),パイン(FF10-2)
yamato nadeshiko (hyakkano),大和撫子(100カノ)
yatagarasu (kemono friends),ヤタガラス(けものフレンズ)
admiral zenker (azur lane),アドミラル・ツェンカー(アズールレーン)
sonata dusk,ソナタ
mix tou,ミックス・トー
mashima himeko (show by rock!!),マシマヒメコ
sora (summer flowers) (arknights),ソラ（夏の花）（arknights）
shiomi hotaru,汐見蛍
gau (ff6),ガウ
moira (1st costume) (nijisanji),モイラ(通常)
kishimoto lucia raimu,岸本・ルチア・来夢
yamato kai ni (swimsuit) (kancolle),大和改二(水着)
satozaki kiko,きーちゃん
hanae (cheer squad) (blue archive),朝顔ハナエ(応援団)
roaring moon,トドロクツキ
bruxish,ハギギシリ
super shadow,スーパーシャドウ
urshifu (rapid),ウーラオス(れんげきのかた)
barraskewda,カマスジョー
nymble,マメバッタ
aventurine (waveflair) (honkai: star rail),アベンチュリン・波と戯れる夏
yamata ia,病又イア
quatre raberba winner,カトル・ラバーバ・ウィナー
ahab (project moon),エイハブ
urobuchi gen,虚淵玄
kuma (pripara),クマ(プリパラ)
skadi's seaborn (arknights),Skadi's Seaborn（Arknights）
hime hajime,hime hajime
chuken otako,忠犬オタ公
koiwai yoshino,小岩井吉乃
straizo,ストレイツォ
professor willow,ウィロー博士
izumozaki neneko,出雲崎ねね子
brycen (pokemon),ハチク
iron crown,テツノカシラ
jaana kettu,ヤーナート
miya (404no2929),深弥
shion (404no2929),思苑
yuudachi (shogun of snowballs) (azur lane),新年雪合戦
hakui koyori (dark maid),博衣こより(ダークメイド衣装)
aromatisse,フレフワン
kizaki erika,木崎江利花
tateishi shima,立石志摩
flametail (sport for all) (arknights),flametail（すべてのスポーツ）（arknights）
destiny (takt op.),運命(ムジカート)
macne nana,Mac音ナナ
spidops,ワナイダー
serena (palentine's 2021) (pokemon),セレナ(21シーズン)
grendizer,グレンダイザー
rosa (academy) (pokemon),メイ_(アカデミー)
frankenstein's monster (swimsuit saber) (third ascension) (fate),フランケンシュタインのモンスター（水着セイバー）（第三の昇天）（運命）
kitagawa mahiro,北川真尋
riddhe marcenas,リディ・マーセナス
kazesawa sora,風沢そら
orishima kei,織島_慶
fio (nier),フィオ
gokuchou,ゴクチョー
ameno hitsuka,雨乃陽束
mountain of smiling bodies,笑う死体の山
ortfine fredericka von eylstadt,オルトフィーネ・フリーレリカ・フォン・エイルシュタット
burgerpants,バーガーパンツ
jaina proudmoore,ジェイナ・プラウドムーア
kasuga yui,春日結
kasei-san,火星さん
geegee (granblue fantasy),Geegee（Granblueファンタジー）
moblin,モリブリン
u-556 (azur lane),U-556(アズールレーン)
todoroki kyouko,クリエイツ轟京子
catalyst (apex legends),カタリスト
hamakawa ayuna,浜川愛結奈
lucia fex,ルチア・フェックス
heracles (housamo),ヘラクレス
mare (ac8231),メア・ルナリス
bad haro,悪いハロ
isuzu (azur lane),五十鈴(アズールレーン)
clementine (overlord),クレマンティーヌ
amifumi inko,網文韻子
don patch,首領パッチ
001 (darling in the franxx),001(ダリフラ)
lemrina vers envers,レムリナ・ヴァース・エンヴァース
zaku ii f/j,Zaku II f/j
kashiwagi azusa,柏木梓
elza straherz,エルザ・ストラヘズ
ran straherz,走ったstreherz
sakurano kurimu,桜野くりむ
suzu (torikissa!),鈴（トリキッサ！）
tenko kuugen,Tenko Kuugen
atago kinue,愛宕絹恵
segawa izumi,瀬川泉
ousaka akane,逢坂茜
aoba kozue,蒼葉梢
kaburagi tomoe,鏑木
suzuhara misae,鈴原美紗
quan (fire emblem),キュアン
annaka haruna,安中さん
liz hohenstein,リィズ・ホーエンシュタイン
lagiacrus,ラギアクルス
yuuki mizuho,結城瑞穂
takada shiyuki,高田詩雪
fujimaru ritsuka (male) (brilliant summer),ブリリアントサマー
noa (granblue fantasy),ノア(グラブル)
akaooni,アカオーニ
awane kokoro,粟根こころ
shao siming (qinshi mingyue),少司命(秦时明月)
thievul,フォクスライ
dos cat,ドスキャット
goetz von berlichingen (azur lane),ゲッツ・フォン・ベルリヒンゲン
homer simpson,ホーマー・シンプソン
bianca: stigmata (pgr),深痕
hilling (ousama ranking),ヒリング王妃
male professor (neural cloud),男性教授(ニューラルクラウド)
lion (the reclining dandelion) (azur lane),遊興心のダンディライオン
taki suzuna,瀧鈴音
captain hannah,キャプテンハンナ
gentiane (girls' frontline),ジャンシアーヌ
shiga riko,司賀りこ
himura nagisa,緋村那岐咲
spuria (arknights),スプリア(アークナイツ)
lillum,リリム・ゼブル
gamou maki,ガモちゃん(長瀞フレンズ)
arch zion,アークシオン
xerath (league),Xerath
lily (spy kyoushitsu),リリィ
azuchi momo,ももちゃんあーと
dragonmaid sheou,ドラゴンメイド・シュトラール
starlight glimmer,スターライトグリマー
elizabeth bathory (cinderella) (fate),シンデレラエリザ
rokkaku shiori,六角汐里
two-face,トゥーフェイス
peritya (girls' frontline 2),ペリティア(ドールズフロントライン2)
tart (precure),タルト(フレッシュプリキュア!)
demon king (in),デーモンキング（イン）
hermann (project moon),ヘルマン
rolf (fire emblem),ヨファ
satomi (stpri),さとみ
celica (xenoblade x),セリカ(ゼノブレイド)
china (female) (hetalia),王春燕
hallelujah haptism,ハレルヤのハプティズム
dancer shantae,ダンサー・シャンテ
ilia (zelda),イリア(トワプリ)
