original,オリジナル
senran kagura estival versus,閃乱カグラ少女達の選択
age of ishtaria,刻のイシュタリア
light and night love,光と夜の恋
pukey goddess shot trick,ピューキーゴッデスショットトリック
mechanical buddy universe,メカニカルバディユニバース
romeo to cinderella (vocaloid),ロミオとシンデレラ
voltron: legendary defender,ボルトロン
tenkuu no shiro laputa,ラピュタ
sen no kiseki ii,閃の軌跡II
sugar sugar rune,シュガシュガルーン
prism project,プリズムプロジェクト
kyu-kurarin (cevio),きゅうくらりん
enjo kouhai,援助交配
witchblade (anime),ウィッチブレイド
yoake mae yori ruri iro na,夜明け前より瑠璃色な
listen!!,聞く！！
oneshot (game),Oneshot（ゲーム）
da capo ii,ダ・カーポII
comiket 99,コミケ99
idolmaster shiny colors song for prism,アイドルマスターシャイニーカラーズSong_for_Prism
atelier meruru,メルルのアトリエ
grappler baki,グラップラー刃牙
pokemon brilliant diamond and shining pearl,ポケモンBDSP
carnival phantasm,カーニバル・ファンタズム
ouran high school host club,桜蘭高校ホスト部
limelight lemonade jam,ライムライト・レモネードジャム
sonic the hedgehog (idw),IDWソニック
jahy-sama wa kujikenai!,ジャヒー様はくじけない!
night sparrow love,恋する夜雀
fatal frame: mask of the lunar eclipse,月蝕の仮面
slay the spire 2,杀戮尖塔2
the lego group,レゴ
isekai maou to shoukan shoujo no dorei majutsu,異世界魔王と召喚少女の奴隷魔術
7th dragon 2020,セブンスドラゴン2020
tales of destiny 2,テイルズ・オブ・デスティニー2
kotobukiya bishoujo,コトブキヤ
a channel,Aチャンネル
bunny garden,バニーガーデン
sunken fossil world,東方剛欲異聞~水没した沈愁地獄
mario tennis,マリオテニス
kuroinu ~kedakaki seijo wa hakudaku ni somaru~,黒獣~気高き聖女は白濁に染まる~
doukyuusei,同級生
yuusha ou gaogaigar,勇者王ガオガイガー
choujigen game neptune mk2,超次元ゲイムネプテューヌmk2
danna ga nani wo itte iru ka wakaranai ken,旦那が何を言っているかわからない件
netsu ijou (utau),熱異常
.hack//g.u.,.hack // g.u。
kamen rider fourze (series),仮面ライダーフォーゼ
monsters raid,モンスターズ・レイド
medaka box,めだかボックス
crash bandicoot (series),クラッシュバンディクー
dies irae,ディエス・イレ
super heroine boy,スーパーヒロインボーイ
crazy raccoon,クレイジーなアライグマ
girls und panzer saishuushou,ガルパン最終章
kanan-sama wa akumade choroi,カナン様はあくまでチョロい
rance x,ランス10
walt disney's peter pan,ピーター・パン(ディズニー)
blue oath,蒼藍の誓い
mahoutsukai linn no shiawase na kekkon,魔法使いリィンの幸せな結婚
omamori himari,おまひま
friday the 13th,13日の金曜日
valkyrie drive -mermaid-,ヴァルキリードライヴマーメイド
fallout: new vegas,フォールアウト:ニューベガス
after war gundam x,機動新世紀ガンダムX
dragon quest dai no daibouken,ダイの大冒険
phoenix wright: ace attorney - trials and tribulations,逆転裁判3
alternative girls,オルタナティブガールズ
danmachi memoria freese,ダンまち~メモリア・フレーゼ~
soulcalibur iv,ソウルキャリバーIV
gundam msv,モビルスーツバリエーション
tales weaver,テイルズウィーバー
macross: do you remember love?,超時空要塞マクロス
monster musume td,モンスター娘TD
top wo nerae 2!,トップをねらえ2!DIEBUSTER
kamen rider (1st series),仮面ライダー
warframe,ウォーフレーム
disgaea rpg,魔界戦記ディスガイアRPG
houshin engi,封神演義
meridian project,子午計畫
16personalities,mbti修电脑组
sonic frontiers,ソニックフロンティア
hamidashi creative,ハミダシクリエイティブ
initial d,イニD
kirara fantasia,きららファンタジア
one piece treasure cruise,トレジャークルーズ
american mcgee's alice,アリスインナイトメア
grand theft auto vi,グランドセフトオート6
kamen rider ex-aid (series),仮面ライダーエグゼイド
tower of god,神之塔
yappari chinchirando,やっぱりチンチランド
satsuriku no tenshi,殺戮の天使
hitsugi no chaika,棺姫のチャイカ
miru tights,みるタイツ
fatal fury: city of the wolves,餓狼伝説CotW
zettai karen children,絶対可憐チルドレン
kuso miso technique,くそみそテクニック
rhythm tengoku,リズム天国
sengoku collection,戦国コレクション
vinland saga,ヴィンランド・サガ
sasayaku you ni koi wo utau,ささやくように恋を唄う
terminator (series),ターミネーター
hololive official card game,ホロカ
pixiv fantasia 3,pixivファンタジアIII
sleeping beauty (disney),眠れる森の美女
drifters,ドリフターズ
shukusei!! loli-kami requiem,粛聖!!_ロリ神レクイエム☆
beauty and the beast (disney),美女と野獣(ディズニー)
reverseblue x re-birthend,リバースブルー×リバースエンド
mushishi,蟲師
ninja slayer,ニンジャスレイヤー
musuko ga kawaikute shikatanai mazoku no hahaoya,息子がかわいくて仕方ない魔族の母親
star ocean: the last hope,スターオーシャン4
love and producer,恋とプロデューサー~EVOL×LOVE~
project diva 2nd,Project Diva 2nd
titanfall (series),タイタンフォール
catherine (game),キャサリン（ゲーム）
"mogyutto ""love"" de sekkin chuu!",もぎゅっと“love”で接近中!
fire emblem: shadow dragon,新・暗黒竜と光の剣
hitozuma sentai aisaiger,人妻戦隊アイサイガー
prison school,プリズンスクール
kimetsu gakuen,中高一貫キメツ学園物語
baccano!,バッカーノ!
dragon quest i,ドラゴンクエスト1
dr. slump,Dr.スランプ
yuzusoft,ゆずソフト
gendai ninjakko zukan,現代忍者っ子図鑑
yumemi ga cheek!,ゆめみがちーく!
da capo i,ダ・カーポI
foul detective satori,反則探偵さとり
monsterverse,モンスターバースシリーズ
mahou senki lyrical nanoha force,魔法戦記リリカルなのはForce
food fantasy,フードファンタジー
castlevania: portrait of ruin,悪魔城ドラキュラギャラリーオブラビリンス
duffy and friends,ダッフィーアンドフレンズ
mahou shoujo lyrical nanoha the movie 2nd a's,魔法少女リリカルなのはthemovie2nda's
clover theater,クローバーシアター
fear & hunger 1,フィア―・アンド・ハンガー
nier reincarnation,ニーアリィンカネーション
idolmaster poplinks,アイドルマスターポップリンクス
umamusume: road to the top,ウマ娘プリティーダービーRoad_to_the_Top
animage,アニメージュ
legend clover,れじぇくろ
cu-no,cu-no
kemurikusa,ケムリクサ
rune factory 3,ルーンファクトリー3
gyakushuu no fantasica,逆襲のファンタジカ
star driver,STAR_DRIVER_輝きのタクト
kanpani girls,かんぱに☆ガールズ
mirai akari project,ミライアカリ
atelier yumia,ユミアのアトリエ
koe no katachi,聲の形
dorei to no seikatsu ~teaching feeling~,奴隷との生活
production kawaii,プロダクションkawaii
hercules (1997 movie),ヘラクレス(ディズニー映画)
xenoblade chronicles 2: torna - the golden country,黄金の国イーラ
boku dake ga inai machi,僕だけがいない街
maison ikkoku,めぞん一刻
shine post,シャインポスト
murder drones,マーダードローンズ
.flow,。流れ
wild arms 3,ワイルドアームズ3
urara meirochou,うらら迷路帖
everlasting summer,永遠の夏
transformers (live action),実写TF
maimai (game),マイマイ
zhu xian,诛仙
iosys,iosys
katanagatari,刀語
ganbare! nakamura-kun!!,ガンバレ!中村くん!!
danshi koukousei no nichijou,男子高校生の日常
hitoribocchi no marumaru seikatsu,ひとりぼっちの○○生活
the big o,THEビッグオー
metal gear solid 3: snake eater,メタルギアソリッド3
kannazuki no miko,神無月の巫女
otaku-kun to gyaru no koi,オタクくんとギャルの恋
kamen rider den-o (series),仮面ライダー電王
tensui no sakuna-hime,天穂のサクナヒメ
nijisanji koshien,にじさんじ甲子園
digimon ghost game,デジモンゴーストゲーム
furyou michi ~gang road~,不良道~ギャングロード~
citrus (saburouta),シトラス
gake no ue no ponyo,崖の上のポニョ
gundam f91,機動戦士ガンダムF91
the nightmare before christmas,ナイトメア・ビフォア・クリスマス
lilo & stitch,リロ・アンド・スティッチ
18trip,エイトリ
warrior cats,ウォーリアーズ
saturday night fever,サタデーナイトフィーバー
wakfu,ワクフ
a song of ice and fire,氷と炎の歌
final gear,ファイナルギア
tetris,テトリス
tatakau ni atai suru,戦うに値する
mononoke,モノノ怪
shirokami project,白髪教団
comic aun,コミックアウン
creepypasta,クリーピーパスタ
virtua fighter,バーチャファイター
star vs the forces of evil,悪魔バスター★スター・バタフライ
world of warships,戰艦世界
national basketball association,美国职业篮球联赛
seto no hanayome,瀬戸の花嫁
uni create,ゆにクリエイト
onegai teacher,おねがい☆ティーチャー
girls und panzer ribbon no musha,リボンの武者
winx club,ウィンクス・クラブ
chunithm,チュウニズム
shimeji simulation,シメジシミュレーション
sora wo kakeru shoujo,宇宙をかける少女
silent hill 3,サイレントヒル3
ange vierge,アンジュ・ヴィエルジュ
akemiho tabi nikki,あけみほ旅日記
matryoshka (vocaloid),マトリョシカ
comiket 95,コミケ95
saga frontier,サガフロンティア
honey come chatka!!,ハニカムチャッカ
persona 2 tsumi,ペルソナ2罪
maitetsu,まいてつ
ookami-san,オオカミさんと七人の仲間たち
iya na kao sare nagara opantsu misete moraitai,嫌な顔されながらおパンツ見せてもらいたいシリーズ
the legend of zelda: echoes of wisdom,知恵のかりもの
jingling zhi dan,精灵之蛋
mekakucity actors,メカクシティアクターズ
demon's souls,デモンズソウル
hinako note,ひなこのーと
gatchaman crowds,ガッチャマンクラウズ
pornhub,Pornhubビキニ
my life as a teenage robot,ジェニーはティーン☆ロボット
gensou suikoden i,幻想水滸伝i
gfriend,ジーフレンド
san-x,サンエックス
k-project,K(アニメ)
cutie honey,キューティーハニー
kowareta sekai to utaenai miku,壊れたセカイと歌えないミク
baby princess,ベイビープリンセス
hatsune miku graphy collection,初音ミクぐらふぃコレクション
echocalypse,エコカリ
project hail mary,プロジェクト・ヘイル・メアリー
rakudai kishi no cavalry,落第騎士の英雄譚
comiket 96,コミケ96
forestia ~chiisana machi no bokujou life~,フォレスティア~ちいさな町の牧場ライフ~
mashiroiro symphony,ましろ色シンフォニー
comic kairakuten beast,快楽天ビースト
koisuru asteroid,恋する小惑星
kamen rider blade (series),仮面ライダー剣
doupo cangqiong,斗破苍穹
mahoromatic,まほろまてぃっく
ar tonelico iii,アルトネリコ3
elfen lied,エルフェンリート
mahou shoujo sae,魔法少女沙枝
phoenix wright: ace attorney - spirit of justice,逆転裁判6
kinnikuman,キン肉マン
galge.com,galge.com
bokutachi wa benkyou ga dekinai,ぼくたちは勉強ができない
mode aim,オシャレになりたい!ピーナッツくん
tsunderia,Tsunderia
shigatsu wa kimi no uso,四月は君の嘘
tamacolle,魂これ
yuri-natsu: minshuku kagaya,ゆりなつ
roshin yuukai (vocaloid),炉心融解
sore wa bokutachi no kiseki,それは僕たちの奇跡
wednesday (netflix),ウェンズデー
idolmaster side-m growing stars,サイスタ
kamen rider gavv (series),仮面ライダーガヴ
mahou shoujo lyrical nanoha a's portable: the battle of aces,Mahou shoujo lylical nanohaのポータブル：エースの戦い
encanto,ミラベルと魔法だらけの家
the legend of zelda: a link to the past,神々のトライフォース
persona 5: dancing star night,ペルソナ5ダンシング・スターナイト
la pucelle tactics,ラ・ピュセル
high school dxd pi,ハイスクールD×DPI
pui pui molcar,モルカー
doukyuusei 2,同級生2
comiket 97,コミケ97
vigilante -boku no hero academia: illegals-,ヴィジランテ-僕のヒーローアカデミアILLEGALS-
tokimeki memorial 2,ときめきメモリアル2
shounen jump,少年ジャンプ
rolling girl (vocaloid),ローリンガール
dragon musume ni naritakunai!,ドラゴン娘になりたくないっ!
chuugoku yome nikki,中国嫁日記
ginga eiyuu densetsu,銀河英雄伝説
white album 2,ホワイトアルバム2
#compass,#コンパス
onsen musume,温泉むすめ
pia carrot (series),Piaキャロットへようこそ!!
mishiranu joshikousei ni kankin sareta mangaka no hanashi,見知らぬ女子高生に監禁された漫画家の話
precure all stars,プリキュアオールスターズ
the jojolands,ザ・ジョジョランズ
bobobo-bo bo-bobo,ボボボーボ・ボーボボ
atelier escha & logy,エスカ&ロジーのアトリエ
kagura gumi,神楽めあ
takaramonozu,タカラモノズ
tokimeki memorial 1,ときめきメモリアル
taimanin asagi kessen arena,対魔忍アサギ~決戦アリーナ~
yuru-chara,ゆるキャラ
doom eternal,永遠の運命
looney tunes,ルーニー・テューンズ
star wars: the clone wars (2008 tv series),クローン・ウォーズ
story of eastern wonderland,東方封魔録
girl cafe gun,ガール・カフェ・ガン
eden's zero,エデンズゼロ
jormungand (manga),ヨルムンガンド
marvel vs. capcom 2,マブカプ2
toy story,トイ・ストーリーシリーズ
wrestle angels survivor,レッスルエンジェルスサバイバー
half-life (series),ハーフライフ
tsukuyomi moonphase,月詠(漫画)
legend of the cryptids,Cryptidsの伝説
cyphers,シップ
tribe nine,トライブナイン
chrono crusade,クロノクルセイド
eyeshield 21,アイシールド21
naruto shippuuden: ultimate ninja blazing,NARUTO疾風伝ナルティメットブレイジング
juuni kokuki,十二国記
seikon no qwaser,聖痕のクェイサー
mahotama,まほ☆たまシリ
null-meta,ぬるめた
love live! hasu no sora jogakuin school idol club bloom garden party,映画蓮ノ空
bougyoryoku zero no yome,防御力ゼロの嫁
amakano 2,アマカノ2
nue no onmyouji,鵺の陰陽師
alice: madness returns,アリスマッドネスリターンズ
power pro appli,パワプロアプリ
k-on! movie,映画けいおん!
himehina channel,ヒメチャンネル
sakura-sou no pet na kanojo,さくら荘のペットな彼女
king of prism,キンプリ
sonic adventure 2,ソニックアドベンチャー2
nurarihyon no mago,ぬらりひょんの孫
phantasmagoria of flower view,東方花映塚
soukou seiki ysphere,装煌聖姫イースフィア
langrisser mobile,ラングリッサーモバイル
428: fuusa sareta shibuya de,428~封鎖された渋谷で~
suicide squad,スーサイド・スクワッド
project diva f,プロジェクト歌姫f
mother 1,マザー1
kyoto animation,京都アニメーション
oda nobuna no yabou,織田信奈の野望
fire emblem shadows,ファイアーエムブレムシャドウズ
kirby air ride,カービィのエアライド
darkest dungeon,ダーケストダンジョン
google,グーグル
tiktok,ティックトック
kunio-kun series,くにおくん
kakyuusei,下級生
hidan no aria,緋弾のアリア
hikaru no go,ヒカルの碁
demi-chan wa kataritai,亜人ちゃんは語りたい
wake up girls!,女の子を起こす！
tokyo mirage sessions fe,幻影異聞録♯FE
the king of fighters xiii,ザ・キング・オブ・ファイターズXIII
eversoul,エバーソウル
tomo-chan wa onna no ko,トモちゃんは女の子!
maou-jou de oyasumi,魔王城でおやすみ
ar tonelico i,アルトネリコ世界の終わりで詩い続ける少女
memories off,メモリーズオフ
melty blood: type lumina,溶融血：タイプルミナ
she-ra and the princesses of power,シーラとプリンセス戦士
tales of legendia,テイルズ・オブ・レジェンディア
mahou shoujo inori,魔法少女イノリ
manga time kirara,まんがタイムきらら
lotte no omocha!,ロッテのおもちゃ!
kamoku dakedo mechakucha nori no ii kuroneko-chan,寡黙だけどめちゃくちゃノリのいい黒猫ちゃん
druaga no tou,ドルアーガの塔
hyrule warriors: age of calamity,厄災の黙示録
black bullet,ブラック・ブレット
yandere simulator,ヤンデレシミュレーター
touhou danmaku kagura,東方ダンマクカグラ
bokusatsu tenshi dokuro-chan,撲殺天使ドクロちゃん
otome gee sekai wa mob ni kibishii sekai desu,乙女ゲー世界はモブに厳しい世界です
tonari no kyuuketsuki-san,となりの吸血鬼さん
pokemon: twilight wings,薄明の翼
tamagotchi (classic),たまごっち
ga-rei,喰霊
pacific (kancolle),美艦本
chaos online,カオスヒーローズオンライン
coppelion,コッペリオン
washio sumi wa yuusha de aru,鷲尾須美は勇者である
kamen rider gaim (series),仮面ライダー鎧武
strawberry prince,すとろべりーぷりんす
yomi no tsugai,黄泉のツガイ
shiro seijo to kuro bokushi,白聖女と黒牧師
galaxy angel rune,ギャラクシーエンジェルII
death stranding,デス・ストランディング
djmax respect,djmaxの尊敬
snk heroines: tag team frenzy,SNKヒロインズ
splatoon raiders,スプラトゥーンレイダース
soulcalibur vi,ソウルキャリバー6
kakumeiki valvrave,革命機ヴァルヴレイヴ
maria holic,まりあ†ほりっく
mega man 2,ロックマン2Dr.ワイリーの謎
makai senki disgaea 5,魔界戦記ディスガイア5
off (game),オフ（ゲーム）
sarazanmai,さらざんまい
me!me!me!,私！私！私！
samsung,サムスン
sinsekai record,深脊界計画
sweets paradise,スイパラ
marl kingdom,マール王国の人形姫
first stage production,いちプロ
7-eleven,セブンイレブン
kumamiko,くまみこ
bandai namco,バンダイナムコ
marvel tokon: fighting souls,MARVEL闘魂
dai (series),大シリーズ
kamen rider wizard (series),仮面ライダーウィザード
gwechul,怪談出勤
mister donut,ミスタードーナツ
unleashed,解き放たれた
mega man x4,ロックマンX4
ga-rei zero,喰霊-零-
fuuki iinchou seira,風紀委員長聖薇
clair obscur: expedition 33,光與影:33號遠征隊
kirby's return to dream land,星のカービィWii
detroit: become human,デトロイトビカムヒューマン
sengoku otome,戦国乙女
mahoujin guruguru,魔法陣グルグル
kamen rider kabuto (series),仮面ライダーカブト
king (vocaloid),キング（ボーカロイド）
taiho shichauzo,逮捕しちゃうぞ
shinsou kenki arch saver,神装剣姫アークセイバー
suguri,スグリ
x-men movie series,X-MENユニバース
hakanai kimi wa moukou wo hajimeru,儚キミ
fate/extra ccc fox tail,運命/余分なCCCフォックステール
code: kite,代号鸢
sword art online: unleashed blading,ソードアート・オンライン_アンリーシュ・ブレイディング
onegai my melody,おねがいマイメロディ
ensemble girls!,あんさんぶるガールズ!
pokemon winds and waves,ポケモン風波
grisaia no rakuen,グリザイアの楽園
22/7 ongaku no jikan,22/7音楽の時間
mimukauwa nice try (vocaloid),みむかゥわナイストライ
moetan,もえたん
schwarzesmarken,シュヴァルツェスマーケン
erha he ta de bai mao shizun,二哈と彼の白猫師尊
mieruko-chan,見える子ちゃん
strike witches zero,ストライクウィッチーズ零
magician's aerial dream,東方架空園
nippon ichi,日本一ソフトウェア
daiblos core,ダイブロスコア
metal gear solid 4: guns of the patriots,メタルギアソリッド4
double dealing character,東方輝針城
ninja gaiden,ニンジャガイデン
collar x malice,カラマリ
elona,エレア
transformers: prime,トランスフォーマープライム
girls und panzer little army,ガールズ&パンツァーリトルアーミー
seito kaichou hikaru,聖徒会長ヒカル
digimon xros wars,デジモンクロスウォーズ
watashi no oshi wa akuyaku reijou,私の推しは悪役令嬢。
yuushakei ni shosu,勇者刑に処す
sword art online progressive,ソードアートオンラインプログレッシブ
nurse witch komugi-chan,ナースウィッチ小麦ちゃんマジカルて
yoru no yatterman,夜ノヤッターマン
titanfall 2,タイタンフォール2
iron man (series),アイアンマン
deemo,deemo
houchi shoujo,放置少女イラコンファンアート
maken-ki!,マケン姫っ!
snow halation,スノハレ
phantasmagoria of dim.dream,夢時空
mario kart tour,マリオカートツアー
2.5 jigen no ririsa,2.5次元の誘惑
princess principal game of mission,プリンセス・プリンシパルGOM
bacchikoi!,バッチコイ
kaoru hana wa rin to saku,薫る花は凛と咲く
monster hunter portable 3rd,モンスターハンターポータブル3rd
quiz magic academy the world evolve,クイズマジックアカデミーTHE_WORLD_EVOLVE
guilty gear x,ギルティギアゼクス
warhammer fantasy,ウォーハンマーファンタジー
ai the somnium files,AI:ソムニウムファイル
trigger (company),株式会社トリガー
kitarou tanjou: gegege no nazo,鬼太郎誕生ゲゲゲの謎
tenki no ko,天気の子
tom and jerry,トムとジェリー
isekai ojisan,異世界おじさん
kamen rider zi-o (series),仮面ライダージオウ
miniskirt pirates,ミニスカ宇宙海賊
walkure romanze,ワルキューレロマンツェ
weather planet,ウェザプラ
duet night abyss,デュエットナイトアビス
mega man x: command mission,ロックマンXコマンドミッション
slow start,スロウスタート
vyugen,ヴィーゲン
transformers: animated,トランスフォーマーアニメイテッド
tsuujou kougeki ga zentai kougeki de ni-kai kougeki no okaasan wa suki desu ka?,通常攻撃が全体攻撃で二回攻撃のお母さんは好きですか?
tenmaku no jaadugar,天幕のジャードゥーガル
sdorica,スドリカ
kemomimi refle!,けもみみりふれっ!
qinshi mingyue,秦时明月
oukoku no shugo tenshi,王国の守護天使
sayonara lara,さよならララ
predator (series),プレデター
bural chingu,ずっとも!
cafe-chan to break time,カフェちゃんとブレークタイム
metroid fusion,メトロイドフュージョン
antinomy of common flowers,東方憑依華
tactics ogre,タクティクスオウガ
the amazing world of gumball,おかしなガムボール
tomodachi life,トモダチコレクション新生活
last period,ラストピリオド
rain world,雨世界
gundam sentinel,ガンダムセンチネル
aku no meshitsukai (vocaloid),悪ノ召使
yami to boushi to hon no tabibito,ヤミと帽子と本の旅人
versailles no bara,ベルサイユのばら
shijou saikyou no deshi ken'ichi,史上最強の弟子ケンイチ
lord of vermilion,ロードオブヴァーミリオン
kai-ri-sei million arthur,乖離性ミリオンアーサー
sakura taisen v,サクラ大戦V
super mario 3d world,スーパーマリオ3Dワールド
super mario rpg,スーパーマリオRPG
natsume yuujinchou,夏目友人帳
danball senki,ダンボール戦機
the incredibles,Mr.インクレディブル
watashi wo tabetai hitodenashi,私を喰べたい、ひとでなし
bioshock (series),バイオショック
143 ocean boulevard,143オーシャン・ブールヴァード
kyokugen dasshutsu: 9 jikan 9 nin 9 no tobira,極限脱出9時間9人9の扉
wangzhe rongyao,王者荣耀
invader zim,インベーダー・ジム
microsoft,マイクロソフト
seisenshi dunbine,聖戦士ダンバイン
princess peach: showtime!,プリンセスピーチショータイム!
pixiv fate/grand order contest 2,FGOイラコン2
jissai no tokoro,実際のところ
cuphead (game),カップヘッド
undead unluck,アンデッドアンラック
ace attorney investigations 2: prosecutor's gambit,逆転検事2
muse dash,喵斯快跑
100% orange juice,100%おれんじじゅ〜すっ!
joshi kousei rich thots,お姉ちゃんととろける気持ち
mc axis,MC☆あくしず
kemomimi oukoku kokuei housou,けもみみおーこく
to heart 2 ad,ハート2の広告に
oshi no taisetsuna hito ni narikawaru,推しの大切な人に成り代わる
fall guys,フォールガイズ
summon night 2,サモンナイト2
konjiki no gash!!,金色のガッシュベル!!
disgaea d2,ディスガイアD2
super blackjack,スーパーブラックジャック
blade runner (series),ブレードランナー
cinderella (disney movie),シンデレラ(ディズニー)
ojisan to marshmallow,おじマシュ
digimon universe: appli monsters,デジモンユニバースアプリモンスターズ
matai toshi,魔胎都市
kaibutsu oujo,怪物王女
gundam battle operation 2,機動戦士ガンダムバトルオペレーション2
last exile,ラストエグザイル
the legend of zelda: spirit tracks,大地の汽笛
mahou senshi symphonic knights,魔法戦士シンフォニックナイツ
shuumatsu no valkyrie,終末のワルキューレ
steam (platform),Steam（プラットフォーム）
mighty no. 9,マイティーナンバーナイン
sakura no toki,サクラノ刻
manjuverunu no sen otome,マンジュヴェルヌの戦乙女
agarest senki (series),アガレスト戦記
code vein,コードヴェイン
tetsuwan atom,鉄腕アトム
castlevania: rondo of blood,悪魔城ドラキュラX血の輪廻
napoli no otokotachi,ナポリの男たち
jinrui wa suitai shimashita,人類は衰退しました
zako (vocaloid),ざぁこ
yowamushi pedal,弱虫ペダル
kage no jitsuryokusha ni naritakute! master of garden,陰の実力者になりたくて!マスターオブガーデン
osu!,OSU！
valkyrie profile 1,ヴァルキリープロファイル
karakai jouzu no (moto) takagi-san,からかい上手の元高木さん
odd taxi,オッドタクシー
houkago teibou nisshi,放課後ていぼう日誌
ooe (adelta),大穢
andersen's fairy tales,アンデルセン童話
love curse: find your soulmate,恋に落ちるしかなかった
kamihime project,神姫PROJECT
soukou kihei votoms,装甲騎兵ボトムズ
sabrina to muryoku na tamashii,サブリナと無力なタマシイ
danganronpa/zero,ダンガンロンパ/ゼロ
fantasy earth,ファンタジーアース
sonic adventure,ソニックアドベンチャー
shantae and the pirate's curse,海賊の呪い
starcraft,スタークラフト
summer wars,サマーウォーズ
dream hunter rem,ドリームハンター麗夢
bleach: brave souls,ブレソル
kaze no klonoa,風のクロノア
punch-out!!,パンチアウト!!
chanto suenai kyuuketsuki-chan,ちゃんと吸えない吸血鬼ちゃん
itai no wa iya nano de bougyoryoku ni kyokufuri shitai to omoimasu,痛いのは嫌なので防御力に極振りしたいと思います。
oomuro-ke,大室家アルバム
crossbone gundam,機動戦士クロスボーンガンダム
lord of heroes,ロードオブヒーローズ
black surge night,アビスフロント
pixiv fantasia 4,pixivファンタジアIV
chousoku henkei gyrozetter,超速変形ジャイロゼッター
yu-gi-oh! master duel,遊戯王マスターデュエル
sword art online: memory defrag,メモリー・デフラグ
usseewa,うっせぇわ
tales of innocence,テイルズ・オブ・イノセンス
ultra kaijuu gijinka keikaku,ウルトラ怪獣擬人化計画
kamen rider kiva (series),仮面ライダーキバ
project diva,プロジェクト歌姫
gynoid talk,gynoidの話
nogi wakaba wa yuusha de aru,乃木若葉は勇者である
escape from tarkov,タルコフ
dragon ball xenoverse,ドラゴンボールゼノバース
kamen rider drive (series),仮面ライダードライブ
rilakkuma (series),リラックマ
god of war (series),ゴッドオブウォー
himawari-san,ひまわりさん
hataraku saibou black,はたらく細胞BLACK
happy tree friends,ハッピーツリーフレンズ
nhk ni youkoso!,NHKにようこそ!
wendy's,ウェンディーズ
kyokugen dasshutsu adv: zennin shibou desu,善人シボウデス
plants vs. zombies 2,植物大战僵尸2
gachimuchi,ガチムチ
heroman,ヒーローマン
c (control),C(アニメ)
rokudenashi majutsu koushi to akashic record,ロクでなし魔術講師と禁忌教典
c.c. lemon,C.C.レモン
queen's blade grimoire,クイーンズブレイドグリムワール
hapymaher,ハピメア
shinsou seiki elementia,神装聖姫エレメンティア
professor layton,レイトン教授
tiny evil,小さな悪
ichigo 100%,いちご100%
yuukyuu gensoukyoku revival,悠久幻想曲リバイバル
devil summoner: soul hackers,デビルサマナーソウルハッカーズ
mystic square,東方怪綺談
pokemon mystery dungeon: explorers of time/darkness/sky,時・闇の探検隊
urasekai picnic,裏世界ピクニック
dosanko gal wa namaramenkoi,道産子ギャルはなまらめんこい
hara hara!!,孕ら☆ハラっ!!
igaku (utau),イガク
himekishi olivia,姫騎士オリヴィア
seiken gakuin no maken tsukai,聖剣学院の魔剣使い
the super mario bros. movie,ザ・スーパーマリオブラザーズ・ムービー
planetarian,プラネタリアン
dragon age,ドラゴンエイジ
comiket 93,コミケ93
monsters inc.,モンスターズ・インク
tom clancy's the division,ディビジョン
taiko no tatsujin,太鼓の達人
megami magazine deluxe,メガミマガジンDELUXE
jet set radio,ジェットセットラジオ
pokemon sleep,ポケモンスリープ
roco kingdom: world,洛克王国
tantei wa mou shindeiru,探偵はもう、死んでいる。
sonic the hedgehog (archie comics),アーチーソニック
dragon quest ix,ドラゴンクエスト9
twin angel,ツインエンジェル
the legend of zelda: link's awakening,ゼルダの伝説夢をみる島
internet explorer,インターネットエクスプローラ
mahjong fight girl,麻雀ファイトガール
idol land pripara,アイドルランドプリパラ
shimoneta to iu gainen ga sonzai shinai taikutsu na sekai,下ネタという概念が存在しない退屈な世界
ninjago,ニンジャゴー
virtual on,電脳戦機バーチャロン
seihou,西方
kao no nai tsuki,顔のない月
masterwork apocalypse,終末のアーカーシャ
azure striker gunvolt 2,蒼き雷霆ガンヴォルト爪
lotus land story,東方幻想郷
atlus,アトラス
brave girl ravens,ブレイヴガールレイヴンズ
choukou sennin haruka,超昂閃忍ハルカ
bakusou kyoudai let's & go!!,爆走兄弟レッツ&ゴー!!
puss in boots: the last wish,長ぐつをはいたネコと9つの命
ys viii: lacrimosa of dana,イース8
super mario bros. wonder,スーパーマリオブラザーズワンダー
star ocean: first departure,スターオーシャン1
kirby super star,星のカービィスーパーデラックス
melt (vocaloid),メルト
ryuu ga gotoku 0,龍が如く0
amaryllis gumi,アマリリス組
uchi no kuroneko onnanoko,うちの黒猫_おんなのこ
ole tower,俺タワー
hololive alternative,ホロライブオルタナティブ
bakuon!!,ばくおん
mogeko castle,モゲコキャッスル
persona 4: dancing all night,ペルソナ4：一晩中ダンス
ame to kimi to,雨と君と
how to train your dragon (series),ヒックとドラゴン
good omens,グッドオーメンズ
orc wa nozomanai,オークは望まない
inabakumori,稲葉曇
kakyuusei 2,kakyuusei 2
majutsushi orphen,魔術士オーフェン
hyakka ryouran samurai girls,百花繚乱サムライガールズ
ikemen onna to hakoiri musume,イケメン女と箱入り娘
saikin yatotta maid ga ayashii,最近雇ったメイドが怪しい
pokemon: the electric tale of pikachu,電撃!ピカチュウ
